strata,variable,estimate,type,n,stratification,residence
Female,bmi,4.516508900418985,Continuous,609479,sex,Total
Female,age,16.351679187102064,Continuous,889472,sex,Total
Female,sbp,18.33885114990383,Continuous,889471,sex,Total
Female,dbp,10.457639501690124,Continuous,889469,sex,Total
Male,bmi,4.027407261721932,Continuous,88145,sex,Total
Male,age,16.75247986487555,Continuous,801570,sex,Total
Male,sbp,15.897845884646122,Continuous,801569,sex,Total
Male,dbp,10.403669533015455,Continuous,801569,sex,Total
Female,bmi,4.236868333948059,Continuous,458248,sex,Rural
Female,age,16.504225505220344,Continuous,670885,sex,Rural
Female,sbp,18.293718303349053,Continuous,670884,sex,Rural
Female,dbp,10.471114947901532,Continuous,670882,sex,Rural
Male,bmi,3.8356796045607418,Continuous,65589,sex,Rural
Male,age,16.927627079696116,Continuous,602667,sex,Rural
Male,sbp,15.941029219828755,Continuous,602666,sex,Rural
Male,dbp,10.420629559073932,Continuous,602666,sex,Rural
Female,bmi,4.8514170055001555,Continuous,151231,sex,Urban
Female,age,16.01882982943276,Continuous,218587,sex,Urban
Female,sbp,18.43232466286384,Continuous,218587,sex,Urban
Female,dbp,10.424424964287606,Continuous,218587,sex,Urban
Male,bmi,4.267395007940772,Continuous,22556,sex,Urban
Male,age,16.3744633520332,Continuous,198903,sex,Urban
Male,sbp,15.778767079314564,Continuous,198903,sex,Urban
Male,dbp,10.350976198599323,Continuous,198903,sex,Urban
